Planet_name,Orbit_period,Semi_major_axis,Eccentricity,Mass (EU),Radius (EU),Density,Eqilibrium_temp,Insolation_flux,Distance,Effective_temp,Surface_Stellar_gravity,Stellar_luminosity,Stellar_mass,Stellar_radius,Habitable
Kepler-21 b,2.78578,0.042717,0.02,5.08,1.639,6.4,2025,3021.19,113,6305,4.03,0.715,1.41,1.9,0
Kepler-210 b,2.453234,0.032,,8.96,2.94,1.94,734,122.14,242,4559,4.66,-0.758,0.77,0.65,0
Kepler-210 c,7.972513,0.07,,12.8,3.62,1.48,495,25.44,242,4559,4.66,-0.758,0.77,0.65,0
Kepler-211 b,4.138575,0.048,,2.13,1.26,5.85,,158.19,322,5123,4.55,-0.408,0.9,0.82,0
Kepler-211 c,6.04045,0.062,,18.3,1.29,46.8,,95.44,322,5123,4.55,-0.408,0.9,0.82,0
Kepler-212 b,16.257582,0.133,,1.32,1.09,5.6,,133.87,597,5852,4.18,0.367,1.09,1.46,0
Kepler-212 c,31.805174,0.207,,7.95,2.74,2.12,,54.66,597,5852,4.18,0.367,1.09,1.46,0
Kepler-213 b,2.46236,0.036,,3.26,1.62,4.21,,833.47,578,5696,4.31,0.055,1.07,1.2,0
Kepler-213 c,4.822962,0.057,,6.08,2.34,2.61,,339.54,578,5696,4.31,0.055,1.07,1.2,0
Kepler-214 b,15.660544,0.13,,7.32,2.61,2.26,,196.4,804,6169,4.25,0.5,1.11,1.35,0
Kepler-214 c,28.7798,0.194,,5.18,2.13,2.95,,87.24,804,6169,4.25,0.5,1.11,1.35,0
Kepler-215 b,9.360672,0.084,,3.26,1.62,4.21,,105.07,467,5739,4.36,-0.159,0.94,1.03,0
Kepler-215 c,14.667108,0.113,,3.78,1.77,3.75,,57.69,467,5739,4.36,-0.159,0.94,1.03,0
Kepler-215 d,30.864423,0.185,,23.6,2.39,9.5,,21.4,467,5739,4.36,-0.159,0.94,1.03,0
Kepler-215 e,68.16101,0.314,,3.71,1.75,3.8,,7.44,467,5739,4.36,-0.159,0.94,1.03,0
Kepler-216 b,7.693641,0.079,,6.12,2.35,2.59,,540.03,913,6091,4.28,0.464,1.11,1.26,0
Kepler-216 c,17.406669,0.136,,9.48,3.04,1.85,,182.06,913,6091,4.28,0.464,1.11,1.26,0
Kepler-217 b,5.374943,0.065,,5.6,2.23,2.77,,1366.48,1066,6171,4.03,0.73,1.37,1.8,0
Kepler-217 c,8.586004,0.089,,4.08,1.85,3.54,,730.81,1066,6171,4.03,0.73,1.37,1.8,0
Kepler-217 d,3.88689525,,,2.3,1.32,5.5,,2099.75,1066,6171,4.03,0.73,1.37,1.8,0
Kepler-218 b,3.619337,0.046,,2.79,1.48,4.73,,460.66,636,5502,4.39,-0.027,1.01,1.06,0
Kepler-218 c,44.699576,0.248,,10,3.14,1.77,,16.15,636,5502,4.39,-0.027,1.01,1.06,0
Kepler-218 d,124.5244647,,,7.56,2.66,2.21,,4.12,636,5502,4.39,-0.027,1.01,1.06,0
Kepler-219 b,4.585512,0.057,,9.01,2.95,1.93,,456.73,946,5786,4.16,0.196,1.16,1.49,0
Kepler-219 c,22.714613,0.165,,12.5,3.58,1.5,,54.1,946,5786,4.16,0.196,1.16,1.49,0
Kepler-219 d,47.903645,0.272,,19.1,2.81,4.73,,20.01,946,5786,4.16,0.196,1.16,1.49,0
Kepler-220 b,4.159807,0.046,,0.457,0.81,4.73,,105,154,4632,4.65,-0.751,0.65,0.67,0
Kepler-220 c,9.034199,0.076,,3.09,1.57,4.39,,37.32,154,4632,4.65,-0.751,0.65,0.67,0
Kepler-220 d,28.122397,0.163,,0.904,0.98,5.28,,8.21,154,4632,4.65,-0.751,0.65,0.67,0
Kepler-220 e,45.902733,0.226,,2.33,1.33,5.44,,4.27,154,4632,4.65,-0.751,0.65,0.67,0
